A. Erdem Sariyuce,[University at Buffalo]
Andreas Hotho,"[Data Science Chair, University of Würzburg, University of Würzburg, Germany]"
Andreas Zufle,[George Mason University]
Andreas Züfle,"[Emory University, George Mason University]"
Andrei Boiarov,[SIT Rolos]
Andrei Broder,"[Google, USA]"
Andrey Kan,"[Amazon, University of Adelaide]"
Andrzej Dulny,[Unknown]
Andrzej Skowron,"[Systems Research Institute, Polish Academy of Sciences and Multidisciplinary Research Center at UKSW, University of Warsaw and Polish Academy of Siences, University of Warsaw and Systems Research Institute, Polish Academy of Sciences, Poland]"
Angelica Liguori,[Unknown]
Aniket Chakrabarti,[Amazon]
Animesh Chaturvedi,[King's College London and The Alan Turing Institute]
Anirban Dasgupta,"[Indian Institute of Technology Gandhinagar, IIT Gandhinagar, India, IIT Gandhinagar]"
Anirban Mondal,[Ashoka University]
Anirban Santara,[Google]
Anju Karpatne,[VIRGINIA TECH.]
Ankit Agrawal,"[Northwestern University, Northwestern University, USA]"
Ankit Jain,[Meta Inc.]
Ankit Sharma,[University of Minnesota]
Anna Monreale,"[Pisa, Pisa, Italy, University of Pisa, Italy]"
Anna Squicciarini,"[The Pennsylvania State University, The Pennsylvania State University, USA]"
Annalisa Appice,"[Universita' degli Studi di Bari Aldo Moro, Universita’ degli Studi di Bari Aldo Moro, Universita’ degli Studi di Bari Aldo Moro, Italy, Università degli Studi di Bari Aldo Moro, Italy, University of Bari, University Aldo Moro of Bari]"
Anne Denton,"[North Dakota State University, North Dakota State University, USA]"
Anne Laurent,"[Univ. Montpellier, LIRMM, Univ. Montpellier 2, LIRMM, Univ. Montpellier 2, LIRMM, France]"
Anshumali Shrivastava,[Rice University]
Anthony Bagnall,"[University of East Anglia, UK, University of East Anglia]"
Antonio Caliò,[Unknown]
Antonio Cavalcante,[Unknown]
Antonio Pellicani,[Unknown]
Antti Ukkonen,[Speechly]
Anuj Karpatne,[Virginia Tech]
Aobo Xu,[Unknown]
Aoying Zhou,"[School of Data Science and Engineering, East China Normal University, East China Normal University, Shanghai, China, East China Normal University, China, East China Normal University, School of Data Science and Engineering, China]"
Aparna Varde,"[Montclair State University, Montclair State University, USA]"
Arbee L.P. Chen,"[Asia University, Asia University, Taiwan]"
Ari Kobren,"[Oracle Labs, UMass Amherst]"
Arindam Pal,"[Data61, CSIRO and Cyber Security CRC]"
Aris Gkoulalas-Divanis,"[IBM Watson Health, IBM Watson Health, USA]"
Aristides Gionis,"[KTH, Aalto University, Finland, KTH, Sweden, Aalto University]"
Aristidis Likas,"[University of Ioannina, Greece, University of Ioannina]"
Arka Daw,[Virginia Tech]
Arlei Silva,[Rice University]
Arun Maiya,"[Institute for Defense Analyses, Institute for Defense Analyses, USA]"
Aryya Gangopadhyay,"[University of Maryland, Baltimore County, University of Maryland Baltimore County, USA]"
Asadullah Galib,[Unknown]
Ashish Khetan,[Amazon]
Ashita Diwan,[Unknown]
Ashok Srivastava,"[Verizon, USA]"
Ashwinkumar Badanidiyuru,[Google]
Asia J. Biega,[Microsoft]
Asif Muhammad,[Unknown]
Assaf Schuster,[Technion]
Athanasios N. Nikolakopoulos,"[Amazon, Digital Technology Center, University of Minnesota]"
Atsuhiro Takasu,"[National Institute of Informatics, National Institute of Informatics, Japan]"
Augusto Martins,[Unknown]
Auroop Ganguly,[Northeastern University]
Austin Benson,[Cornell University]
Austin R Benson,[Cornell University]
Ayan Acharya,[CognitiveScale Inc.]
Ayhan Demiriz,"[Gebze Technical University, Turkey]"
B. Ravindran,[IIT Madras]
Badran Raddaoui,[Telecom Sudparis]
Baichuan Zhang,[Facebook]
Baihan Lin,[Columbia University]
Balázs Hidasi,[Gravity R&D]
Bang Liu,[University of Montreal]
Baodi Liu,"[China University of Petroleum (Huadong), China university of Petroleum, China University of Petroleum (Huadong), China]"
Baojian Zhou,"[SUNY at Albany, Stony Brook University, University at Albany]"
Baoxu Shi,[LinkedIn]
Barbara Hammer,[Bielefeld University]
Bart Goethals,[University of Antwerp]
Bartolomeo Vacchetti,[Unknown]
Bee-Chung Chen,[LinkedIn]
Ben Kao,"[The University of Hong Kong, The University of Hong Kong, Hong Kong]"
Bencheng Yan,[Alibaba Group]
Benedetto Buratti,[Unknown]
Benjamin C. M. Fung,"[McGill University, McGill University, Canada]"
Bettina Berendt,"[K.U. Leuven, K.U. Leuven, Belgium]"
Bharathkumar,[Unknown]
Bhargav Kanagal,"[Google, Google, USA]"
Bhavani Thuraisingham,"[University of Texas at Dallas, USA]"
Bhavtosh Rath,"[Target, Unknown]"
Bhowmick,[Unknown]
Bianca Zadrozny,[IBM Research Brazil]
Bidisha Samanta,[IIT KGP]
Bin Cui,"[Peking University, China, Peking University]"
Bin Gu,"[MBZUAI, Nanjing University of Information Science and Technology]"
Bin Liu,"[West Virginia University, IBM TJ Watson Research Center]"
Bin Tong,"[Central Research Laboratory, Hitachi, Ltd., Central Research Laboratory, Hitachi, Ltd., Japan]"
Bin Zhou,"[University of Maryland Baltimore County, USA]"
Bin-Bin Jia,[Unknown]
Bing Liu,"[University of Illinois at Chicago, USA, University of Illinois at Chicago]"
Blaz Zupan,"[University of Ljubljana, University of Ljubljana, Slovenia]"
Bo Dong,[Amazon Inc.]
Bo Du,"[Wuhan University, Wuhan University, China]"
Bo Han,[HKBU / RIKEN]
Bo Jin,"[Dalian University of Technology, Dalian University of Technology, China]"
Bo Li,[Department of Computing The Hong Kong Polytechnic University]
Bo Wu,[MIT-IBM Watson AI Lab]
Bo Xiong,[University of Stuttgart]
Bo Yang,"[Jilin University, Jilin University, China]"
Bo Zhao,"[LinkedIn, Pinterest]"
Bogyeong Kim,[Unknown]
Bolin Ding,[Alibaba Group]
Bongki Moon,"[Seoul National University, Seoul National University, Republic of Korea, Seoul National University Korea, Republic of]"
Bowen Li,[Unknown]
Boxin Du,[University of Illinois at Urbana-Champaign]
Boyang Liu,[Unknown]
Bozhidar Stevanoski,[Unknown]
Bradley Malin,"[Vanderbilt University, Vanderbilt University, USA]"
Brais Cancela,"[Universidade da Coruña, LIDIA Group, University of A Coruña]"
Brandeis Marshall,"[DataedX Group, Spelman College, USA]"
Brian Gallagher,[Lawrence Livermore National Laboratory]
Bruno Cremilleux,"[University of Caen Normandy, University of Caen, France]"
Bruno Ribeiro,[Purdue University]
Bruno Veloso,"[INESC TEC, LIAAD - INESC TEC]"
Bryan Hooi,"[NUS, National University of Singapore]"
Bryan Perozzi,"[Google Research, USA, Stony Brook University, Google]"
Buyue Qian,"[Xi'an Jiaotong University, Xi’an Jiaotong University, Xi’An Jiaotong University, China]"
Byron Choi,[Hong Kong Baptist University]
Byron Gao,[Texas State University]
Cai Xu,[Unknown]
Cam-Tu Nguyen,[Nanjing University]
Cameron Wolfe,[Rice University]
Can Altinigneli,[Unknown]
Can Lu,[The Chinese University of Hong Kong]
Can Wang,[Zhejiang University]
Canlin Zhang,[Unknown]
Carl Yang,"[Emory University, EMORY UNIVERSITY]"
Carlo Abrate,[isi foundation]
Carlos Ferreira,"[INESC TEC, LIAAD INESC Porto LA]"
Carlos Monserrat-Aranda,[Universitat Politècnica de València]
Carlotta Domeniconi,"[George Mason University, George Mason University, USA]"
Carola Trahms,[Unknown]
Carolina Ruiz,"[Worcester Polytechnic Institute, Worcester Polytechnic Institute, USA]"
Ce Zhang,[ETH]
Cecilia Mascolo,[University of Cambridge]
Ceren Budak,"[University of Michigan, USA]"
Cesar Ferri,[Universitat Politècnica de València]
Chandan Reddy,"[Virginia Tech, VIRGINIA TECH]"
Chandrika Kamath,"[Lawrence Livermore National Lab, USA]"
Chang Liu,[Unknown]
Chang Xu,"[University of Sydney, The University of Sydney, The University of Sydney, Australia]"
Chang Zhou,[Alibaba Group]
Chang-Dong Wang,"[Sun Yat-Sen University, Sun Yat-sen University, Sun Yat-sen University, China]"
Chang-Tien Lu,"[Virginia Tech, Virginia Tech, USA]"
Changbin Li,[The University of Texas at Dallas]
Changchang Yin,[Ohio State University]
Changxin Tian,[Renmin University of China]
Chanho Lee,[Unknown]
Chao Chen,[Unknown]
Chao Huang,"[University of Notre Dame, University of Notre Dame, USA, JD Digits]"
Chao Lan,"[University of Oklahoma, University of Wyoming]"
Chao Wang,[HKUST Fok Ying Tung Research Institute]
Chao Zhang,"[Daliang Univ of Technology, Daliang University of Technology, China, Georgia Institute of Technology]"
Chaojie Li,[UNSW]
Chaokun Wang,[Tsinghua University]
Chaoran Huang,[University of New South Wales]
Chaosheng Dong,[Amazon]
Charalampos Mavroforakis,[Facebook]
Charalampos Tsourakakis,"[Boston University, USA, Harvard University]"
Charlie Dickens,[University of Warwick]
Charu Aggarwal,"[IBM T. J. Watson Research Center, IBM Watson, USA, IBM T. J. Watson Research Center, USA, IBM]"
Chedy Ra?ssi,[INRIA Nancy]
Chedy Raissi,[INRIA]
Chedy Raussi,"[INRIA Nancy, France]"
Chedy Raïssi,"[Unknown, INRIA]"
Chen Chen,[University of Virginia]
Chen Gong,"[Nanjing University of Science and Technology, Nanjing University of Science and Technology, China]"
Chen Zhao,"[Kitware Inc., University of Texas, Dallas, The University of Texas at Dallas, UTDallas]"
Chen Zhu,[Baidu Talent Intelligence Center]
Cheng Cao,[Amazon]
Cheng Deng,"[Xidian University, Xidian University, China]"
Cheng Zheng,"[University of California, Los Angeles]"
Cheng Zhong,[Unknown]
Cheng-Te Li,"[Institute of Data Science, National Cheng Kung University, Institute of Data Science, National Cheng Kung University, Taiwan, National Cheng Kung University]"
Chengjie Zheng,[Unknown]
Chengkai Li,"[University of Texas at Arlington, USA, The University of Texas at Arlington, University of Texas at Arlington]"
Chengliang Chai,[Tsinghua University]
Chengqi Zhang,"[University of Technology Sydney, University of Technology Sydney, Australia]"
Chenguang Wang,[IBM]
Chengwu Yuan,[Unknown]
Chengxi Zang,"[Weill Medical College of Cornell University, Cornell University, Cornell University, USA]"
Chengxin He,[Unknown]
Chengzhi Piao,[Unknown]
Chenhao Wang,[City University of Hong Kong]
Chhaya Kulkarni,[Unknown]
Chi Wang,[Microsoft]
Chi Zhang,"[Indiana University, Indiana University, School of Medicine]"
Chiara Renso,"[ISTI-CNR, Pisa, Italy]"
Chien-Liang Liu,"[National Yang Ming Chiao Tung University, National Chiao Tung University, National Chiao Tung University, Taiwan]"
Chih-Hua Tai,"[National Taipei University, National Taipei University, Taiwan]"
Chih-Jen Lin,[National Taiwan University]
Chin-Chia Michael Yeh,[Visa Research]
Chiranjib Bhattacharyya,"[Indian Institute of Science Bangalore, India]"
Cho-Jui Hsieh,"[UC Los Angeles, University of California, Los Angeles]"
Chonggang Wang,"[IEEE, USA]"
Chotirat Ann Ratanamahatana,"[Chulalongkorn University, Chulalongkorn University, Thailand]"
Chowdhury Mohammad Rakin Haider,[Purdue University]
Chris Clifton,"[Purdue University, Purdue University at West Lafayette]"
Christan Grant,"[Associate Professor, University of Florida, USA]"
Christian Bauckhage,"[Fraunhofer IAIS, Germany, Fraunhofer]"
Christian Beth,[Unknown]
Christian Boehm,"[University of Munich, University of Munich, Germany]"
Christoph F. Eick,"[Dept. of Computer Science, University of Houston, University of Houston, USA]"
Christophe Rigotti,"[INSA Lyon, France, INSA-Lyon / LIRIS, France]"
Christos Faloutsos,[Carnegie Mellon University]
Chuan Qin,[Unknown]
Chuan Sheng Foo,"[Institute for Infocomm Research, A*STAR]"
Chuan Shi,[Beijing University of Posts and Telecommunications]
Chuan Wu,"[The University of Hong Kong, The University of Hong Kong, China]"
Chuan Zhou,"[Chinese Academy of Sciences, Academy of Mathematics and Systems Science, Academy of Mathematics and Systems Science, Chinese Academy of Sciences, China, Academy of Mathematics and Systems Science, Chinese Academy of Sciences]"
Chuan-Wei Kuo,[Unknown]
Chuang Zhang,[Unknown]
Chuanren Liu,"[The University of Tennessee, Knoxville, Drexel University, Drexel University, USA, University of Tennessee]"
Chuishi Meng,"[JD Intelligent Cities Research, JD Intelligent City Research]"
Chuizheng Meng,[University of Southern California]
Chul-Ho Lee,[Texas State University]
Chulhun Han,[Unknown]
Chun Xu,[Unknown]
Chun-Hao Chang,[University of Toronto]
Chun-Nan Hsu,"[UC San Diego, UC San Diego, USA, University of California San Diego]"
Chunguang Yu,[Unknown]
Chunqiu Zeng,"[Google Inc., USA]"
Chunsheng Victor Fang,"[FireEye, USA]"
Chunyang Li,[Xidian University]
Chuxu Zhang,"[Brandeis University, University of Notre Dame, USA, Brandeis University, USA, University of Notre Dame]"
Claudia Plant,"[University of Vienna, University of Vienna, Austria, Research Group Data Mining, University of Vienna, ds:UniVie]"
Claudio Lucchese,"[ISTI-CNR, Italy]"
Colin Bellinger,[National Research Council of Canada]
Congcong Fu,[Unknown]
Congcong Jiang,[Unknown]
Connor Simpson,[Unknown]
Corinna Coupette,[Max Planck Institute for Informatics]
Cornelia Caragea,[University of Illinois at Chicago]
Cristina Menghini,[Unknown]
Cuize Han,[Amazon]
Cun (Matthew) Mu,[Walmart Global Tech]
Cun Mu,"[Jet.com, Inc./Walmart Labs]"
Curtis Huang,[Unknown]
Cynthia Freeman,[Unknown]
Da Xu,[Walmart Labs]
Da Yan,"[University of Alabama at Birmingham, The University of Alabama at Birmingham]"
Dacheng Tao,[The University of Sydney]
Daeyoung Hong,[Unknown]
Daizong Ding,[Fudan University]
Damian Jimenez,[The University of Texas at Arlington]
Dan Lu,[Unknown]
Dan Simovici,"[University of Massachusetts at Boston, University of Massachusetts at Boston, USA]"
Dan Vilenchik,[Ben-Gurion University]
Dan Zhang,"[Facebook, USA, Facebook]"
Dan Zhou,[Unknown]
Danai Koutra,"[University of Michigan, Ann Arbor / Amazon, UNIV. OF MICHIGAN, University of Michigan]"
Daniel Gonzalez,[Unknown]
Daniel Peterson,[Oracle Labs]
Daniel Rodriguez,"[The University of Alcalá, Spain, The University of Alcalá]"
Daniel Schlör,[Unknown]
Daniel Zügner,[Technical University of Munich]
Daniela Vianna,[Rutgers University]
Dantong Yu,"[New Jersey Institute of Technology, Unknown, Brookhaven National Laboratory, Stony Brook University, USA]"
Daokun Zhang,"[Monash University, Centre for Artificial Intelligence, FEIT, University of Technology Sydney, Australia]"
Daoqiang Zhang,"[Nanjing University of Aeronautics and Astronautics, Nanjing University of Aeronautics and Astronautics, China]"
Dave Debarr,[Microsoft]
David,[Unknown]
David Anastasiu,"[Santa Clara University, SANTA CLARA UNIVERSITY]"
David Buttler,[LLNL]
David C Anastasiu,[Santa Clara University]
David Gleich,[Purdue University]
David Hin,[Unknown]
David Jin,[Unknown]
David Lo,[Singapore Management University]
David Mohaisen,[University of Central Florida]
David Sanchez,"[Universitat Rovira i Virgili, Spain]"
David Sánchez,[Universitat Rovira i Virgili]
David Taniar,"[Monash University, Monash University, Australia]"
Davide Mottin,[Aarhus University]
Davood Rafiei,"[University of Alberta, Canada, University of Alberta, Department of Computing Science, Canada]"
Dawei Zhou,"[University of Illinois at Urbana-Champaign, University of Illinois at Urbana-Champaign, USA]"
Dawn Woodard,[LinkedIn]
Daxin Jiang,"[MICROSOFT RESEARCH ASIA, Microsoft]"
De-Chuan Zhan,[Nanjing University]
De-Nian Yang,[Academia Sinica]
Debanjan Datta,[Amazon Web Services]
Debarati Das,[Unknown]
Defu Lian,[University of Science and Technology of China]
Deguang Kong,"[Google, Yahoo Research, Yahoo Research, USA]"
Dejing Dou,"[University of Oregon, University of Oregon, USA, Computer and Information Science Department, University of Oregon]"
Deng-Bao Wang,[Unknown]
Denghui Zhang,[Rutgers University]
Dhaval Patel,[IBM TJ Watson Research Center]
Di Jin,"[Tianjin University, University of Michigan]"
Di Niu,[University of Alberta]
Dian Chen,[Unknown]
Diane Cook,"[Washington State University, Washington State University, USA]"
Dianhui Wang,"[La Trobe University, La Trobe University, Australia]"
Diego F Silva,[Universidade Federal de São Carlos]
Diego Silva,[Universidade Federal de São Carlos]
Dijun Luo,[Tencent AI Lab]
Dimitrios Gunopulos,"[University of Athens, University of Athens, Greece]"
Dimitris Spathis,[University of Cambridge]
Dinh Phung,[Monash University]
Dino Ienco,"[UMR Tetis, IRSTEA, UMR Tetis, IRSTEA, France]"
Dino Pedreschi,"[Dipartimento di Informatica, Univ. di Pisa]"
Djellel Difallah,"[NYUAD, New York University, New York University, USA]"
Dmytro Karamshuk,[Facebook]
Domenico Mandaglio,[Unknown]
Dong Deng,[Rutgers University]
Dong Li,"[Unknown, Kent State University]"
Dong Wang,[University of Notre Dame]
Dong Wen,[Unknown]
Dong-Kyu Chae,[Hanyang University]
Dongjin Song,"[University of Connecticut, NEC Laboratories America, USA, NEC Labs America]"
Dongkuan Xu,"[Unknown, The Pennsylvania State University]"
Dongqi Fu,[University of Illinois at Urbana-Champaign]
Dongsheng Luo,"[Florida International University, Unknown, The Pennsylvania State University]"
Dongwon Lee,"[The Pennsylvania State University, USA]"
Dongxiang Zhang,[Zhejiang University]
Drew Dimmery,[Facebook]
Dun Zeng,[Unknown]
Dunia Mladenic,"[J. Stefan Institute, Slovenia]"
Dunja Mladenic,"[Jozef Stefan Institute, Slovenia, Jozef Stefan Institute]"
Duo Zhang,[Pinterest]
Eamonn Keogh,"[University of California Riverside (UCR), University of California, Riverside, University of California, Riverside, USA, UC Riverside]"
Ebrahim Bagheri,[Ryerson University]
Eddie Huang,[Unknown]
Edouard Fouche,[Karlsruhe Institute of Technology (KIT)]
Edouard Fouché,[Karlsruhe Institute of Technology (KIT)]
Edward Chang,[HTC Research]
Edward Y Chang,[Stanford University; HTC DeepQ]
Ee-Peng Lim,"[Living Analytics Research Centre, SMU, Singapore]"
Efstratios Gallopoulos,"[University of Patras, University of Patras, Greece]"
Eibe Frank,"[University of Waikato, University of Waikato, New Zealand]"
Einoshin Suzuki,"[Kyushu University, Japan, Kyushu University]"
Eirini Ntoutsi,"[Leibniz University Hannover & L3S Research Center, Germany]"
Ekta Gujral,[Walmart]
El Kindi Rezig,[Massachusetts Institute of Technology]
Eleazar Leal,[Unknown]
Elena Baralis,"[Politecnico di Torino, Politecnico di Torino, Italy]"
Elena Battaglia,[Unknown]
Elena Zheleva,"[University of Illinois Chicago, UNIVERSITY OF ILLINOIS, CHICAGO, University of Illinois at Chicago]"
Elham Naghizade,[Unknown]
Eliana Pastor,[Politecnico di Torino]
Elias Chaibub Neto,[Sage Bionetworks]
Elisa Bertino,"[Purdue University, Purdue University, USA]"
Elisa Fromont,"[Université Rennes 1, IRISA/INRIA rba, Université de Rennes 1]"
Elke Rundensteiner,[Worcester Polytechnic Institute]
Emilio Ferrara,[University of Southern California]
Emmanuel Müller,"[Bonn-Aachen International Center for Information Technology, Germany, University of Bonn]"
Enhong Chen,"[University of Science and Technology of China, Anhui Province Key Lab. of Big Data Analysis and Application, University of Science and Technology of China, China, University of Science and Technology of China, China]"
Eno Thereska,[Amazon]
Enyan Dai,"[Unknown, The Pennsylvania State University]"
Ernest Damiani,[Khalifa University of Science and Technology]
Esra Akbas,[OKLAHOMA STATE UNIVERSITY]
Essam Mansour,[Concordia University]
Esther Galbrun,[University of Eastern Finland]
Ettore Ritacco,[Unknown]
Evangelos Papalexakis,"[UC Riverside, UC Riverside, USA, UNIVERSITY OF CALIFORNIA, RIVERSIDE, University of California Riverside]"
Evgeny Burnaev,[Skoltech]
Evimaria Terzi,"[Boston University, USA, Boston University]"
Fabio Fassetti,"[DIMES, University of Calabria, DIMES, University of Calabria, Italy]"
Fabio Vandin,"[University of Padova, University of Padova, Italy]"
Fabrice Guillet,"[LINA UMR CNRS 6241, Polytech Nantes, University of Nantes, France]"
Fadi Hassan,[Unknown]
Faisal Farooq,"[LinkedIn, QATAR]"
Fan Yang,"[Alibaba DAMO Academy, Texas A&M University]"
Fang Jin,"[George Washington University, Texas Tech University]"
Fangcheng Fu,[Peking University]
Fanhua Shang,[Xidian University]
Fanzhen Liu,[Unknown]
Farzan Masrour,[Unknown]
Fatemeh Vahedian,"[University of Michigan, Ann Arbor]"
Fatma Ozcan,[Google]
Fei Wang,"[Department of Healthcare Policy and Research. Weill Cornell Medicine. Cornell University, Cornell University, Cornell University, USA, Weill Cornell Medicine, USA, CORNELL UNIVERSITY]"
Fei Wu,"[Facebook, The Pennsylvania State University]"
Feida Zhu,"[Singapore Management University, Singapore Management University, Singapore]"
Feifei Li,[University of Utah]
Feihu Huang,[University of Pittsburgh]
Feiping Nie,"[Northwestern Polytechnical University, Unknown, Northwestern Polytechnical University, China]"
Felix Stamm,[RWTH Aachen University]
Feng Chen,"[University of Texas at Dallas, UT Dallas, USA, UT Dallas]"
Feng Nan,[Amazon]
Feng Zheng,[Southern University of Science and Technology]
Fenglong Ma,"[Pennsylvania State University, The Pennsylvania State University]"
Fengmei Jin,[Unknown]
Fernando Martínez-Plumed,[Technical University of Valencia]
Ferran Diego,[Telefonica Research]
Ferran Diego Andilla,[Telefonica I+D]
Firas Gerges,[Unknown]
Flavia Bernardini,"[Fluminense Federal University, Brazil]"
Flavio Chierichetti,[Sapienza University of Rome]
Flavio Figueiredo,[UFMG]
Flavio Giobergia,[Polytechnic University of Turin]
Florent Masseglia,"[INRIA, INRIA, France]"
Florian Adriaens,[KTH]
Forrest Sheng Bao,[Iowa State University]
Fosca Giannotti,[ISTI-CNR]
Francesca Naretto,"[Unknown, Scuola Normale Superiore]"
Francesco Bodria,[SNS]
Francesco Bonchi,"[ISI Foundation, ISI Foundation, Italy, Fondazione ISI]"
Francesco Gullo,"[UniCredit, UniCredit, R&D Dept., UniCredit, R&D Dept., Italy]"
Francesco Marcelloni,[University of Pisa]
Francesco Paolo Caforio,[Unknown]
Francesco Sergio Pisani,[Unknown]
Francesco Silvestri,[University of Padova]
Francois Petitjean,[Monash University]
Franka Bause,[Unknown]
Fred Morstatter,[University of Southern California]
Fred Mubang,[Unknown]
Friedhelm Schwenker,"[University of Ulm, University of Ulm, Germany]"
Fu-Lai Chung,"[Hong Kong Polytechnic University, Hong Kong Polytechnic University, China]"
Fuli Feng,[National University of Singapore]
Fulin Luo,[Wuhan University]
Furkan Kocayusufoglu,"[UC, Santa Barbara]"
Fuzhen Zhuang,"[Institute of Artificial Intelligence, Beihang University, Institute of Computing, Chinese Academy of Sciences, China, Institute of Computing Technology, Chinese Academy of Sciences]"
Gabriele Mencagli,"[University of Pisa, University of Pisa, Italy]"
Ganesh Ramesh,"[Apple Inc., SAP Ariba, SAP Ariba, USA]"
Gang Chen,[Zhejiang University]
Gang Li,"[Deakin University, Deakin University, Australia]"
Gao Cong,"[Nanyang Technological University, Singapore, Nanyang Technological University]"
Gaoxiang Li,[Texas Tech University]
Garcon Antoine,[Unknown]
Gautam Das,"[University of Texas at Arlington, USA]"
Ge Yu,[Northeast University]
Ge Zhang,"[Unknown, Macquarie University, Australia]"
Genwei Zhang,[Unknown]
George Karypis,"[University of Minnesota, University of Minnesota, USA]"
Gerard Memmi,"[Professor, Telecom Paris, France]"
Gerd Stumme,[University of Kassel]
Gerhard Paass,"[Fraunhofer IAIS, Fraunhofer]"
Gerson Zaverucha,[Federal University of Rio de Janeiro (UFRJ)]
Ghazaleh Beigi,[Google]
Gianmarco De Francisci Morales,"[ISI Foundation, ISI Foundation, Italy]"
Gianni Costa,[Unknown]
Gianvito Pio,"[University of Bari Aldo Moro, University of Bari Aldo Moro, Italy]"
Giles Hooker,[Cornell University]
Giovanna Castellano,"[Associate Professor, University of Bari, Italy]"
Giovanni Stilo,"[University of L'Aquila, University of L’Aquila, University of L’Aquila, Italy, Department of Information Engineering, Computer Science and Mathematics - Università degli Studi dell'Aquila]"
Giovanni Yoko,[Unknown]
Giuseppe Attanasio,[Unknown]
Giuseppe Di Fatta,"[University of Reading, UK]"
Giuseppe Manco,[ICAR-CNR]
Giuseppina Andresini,[Unknown]
Gong Zhang,[Unknown]
Gongqing Wu,"[Hefei University of Technology, Hefei University of Technology, China, Key Laboratory of Knowledge Engineering with Big Data of Ministry of Education, Hefei University of Technology, China]"
Gowtham Atluri,[University of Cincinnati]
Graziella De Martino,[Unknown]
